年次,都道府県名,region,田_本地_ha,田_けい畔_ha,畑_本地_ha,畑_けい畔_ha
2008,三重県,Mie,44700,2340,14400,371
2009,三重県,Mie,44500,2330,14400,371
2010,三重県,Mie,44100,2320,14700,384
2011,三重県,Mie,43800,2330,14800,437
2012,三重県,Mie,43500,2410,14600,623
2013,三重県,Mie,43300,2400,14500,619
2014,三重県,Mie,43200,2390,14400,613
2015,三重県,Mie,43000,2380,14200,608
2016,三重県,Mie,42900,2380,14100,601
2017,三重県,Mie,42600,2360,13800,589
2018,三重県,Mie,42400,2350,13600,581
2019,三重県,Mie,42100,2330,13400,573
2020,三重県,Mie,41900,2320,13200,565
2021,三重県,Mie,41700,2310,13000,559
2022,三重県,Mie,41400,2290,12800,550
1965,京都府,Kyoto,38400,2920,12600,198
1966,京都府,Kyoto,38100,2900,12500,197
1967,京都府,Kyoto,37200,2840,11300,182
1968,京都府,Kyoto,36900,2840,11000,162
1969,京都府,Kyoto,36500,2780,10600,173
1970,京都府,Kyoto,36000,2740,10300,156
1971,京都府,Kyoto,35400,2690,9600,147
1972,京都府,Kyoto,34500,2620,9190,142
1973,京都府,Kyoto,33700,2540,8710,138
1974,京都府,Kyoto,32200,2430,8410,135
1975,京都府,Kyoto,31400,2390,8100,131
1976,京都府,Kyoto,30800,2340,7830,128
1977,京都府,Kyoto,30300,2280,7860,128
1978,京都府,Kyoto,29500,2220,7960,133
1979,京都府,Kyoto,29100,2180,7820,131
1980,京都府,Kyoto,28800,2170,7860,128
1981,京都府,Kyoto,28500,2140,7770,125
1982,京都府,Kyoto,28400,2130,7730,123
1983,京都府,Kyoto,28300,2140,7700,124
1984,京都府,Kyoto,28100,2120,7660,123
1985,京都府,Kyoto,27900,2120,7610,123
1986,京都府,Kyoto,27700,2100,7540,121
1987,京都府,Kyoto,27500,2090,7500,118
1988,京都府,Kyoto,27300,2080,7450,118
1989,京都府,Kyoto,27000,2060,7470,119
1990,京都府,Kyoto,26800,2030,7440,117
1991,京都府,Kyoto,26600,2020,7420,117
1992,京都府,Kyoto,26400,2000,7390,114
1993,京都府,Kyoto,26200,2020,7280,114
1994,京都府,Kyoto,26000,2010,7190,112
1995,京都府,Kyoto,25900,2000,7170,112
1996,京都府,Kyoto,25700,1980,7110,111
1997,京都府,Kyoto,25500,1950,7050,110
1998,京都府,Kyoto,25200,1930,7000,109
1999,京都府,Kyoto,25100,1920,6980,109
